Thread ID,Function,Average,Max,Min,Call 
33444,Map_1 PathFind,975.677856§Á, 2389.500000§Á, 675.700000§Á, 998
33444,Map_2 PathFind,1037.262024§Á, 7060.700000§Á, 687.900000§Á, 998
33444,Map_3 PathFind,902.432465§Á, 1662.600000§Á, 752.700000§Á, 998

