Thread ID,Function,Average,Max,Min,Call 
17752,Map_1 PathFind,4366.084068§Á, 1660.900000§Á, 550.000000§Á, 998
17752,Map_2 PathFind,744.811122§Á, 1549.200000§Á, 637.200000§Á, 998
17752,Map_3 PathFind,644.212124§Á, 1681.700000§Á, 547.500000§Á, 998

