Thread ID,Function,Average,Max,Min,Call 
30324,Map_1 PathFind,2674.314028§Á, 6753.000000§Á, 1968.800000§Á, 998
30324,Map_2 PathFind,3557.095391§Á, 5921.600000§Á, 3219.700000§Á, 998
30324,Map_3 PathFind,1107.968637§Á, 1793.000000§Á, 998.400000§Á, 998

