Thread ID,Function,Average,Max,Min,Call 
37216,Map_1 PathFind,1366.073347§Á, 3377.200000§Á, 1029.600000§Á, 998
37216,Map_2 PathFind,1561.072044§Á, 3109.400000§Á, 1313.400000§Á, 998
37216,Map_3 PathFind,1545.631563§Á, 3204.900000§Á, 1297.900000§Á, 998

