Thread ID,Function,Average,Max,Min,Call 
31640,Map_1 PathFind,1313.810521§Á, 3218.800000§Á, 1001.800000§Á, 998
31640,Map_2 PathFind,968.371643§Á, 1897.600000§Á, 847.300000§Á, 998
31640,Map_3 PathFind,4074.025651§Á, 6543.700000§Á, 3701.800000§Á, 998

