Thread ID,Function,Average,Max,Min,Call 
19688,Map_1 PathFind,781.402605§Á, 1522.900000§Á, 585.700000§Á, 998
19688,Map_2 PathFind,869.915832§Á, 1700.400000§Á, 666.400000§Á, 998
19688,Map_3 PathFind,644.594389§Á, 1628.300000§Á, 558.900000§Á, 998

