Thread ID,Function,Average,Max,Min,Call 
14008,Map_1 PathFind,874.417234§Á, 2021.200000§Á, 624.100000§Á, 998
14008,Map_2 PathFind,931.596393§Á, 3872.300000§Á, 699.300000§Á, 998
14008,Map_3 PathFind,529.753707§Á, 1163.400000§Á, 418.400000§Á, 998

